STATE,Year,mx.standard.b,mx.standard.f,mx.standard.m
17,1990,0.0119978659681698,0.00966741389987704,0.0154928409559296
17,2000,0.0110828221929748,0.00929573450805923,0.0137016251458761
17,2010,0.00930438540778409,0.00791293813442527,0.0111720203897197
17,2019,0.00891961908339725,0.00752848031054886,0.0106690757153467
18,1990,0.0118816591626756,0.00954665527674877,0.0153657111373851
18,2000,0.0115920340450006,0.00977306014930822,0.0142559413357852
18,2010,0.0101826575767103,0.00866318198200488,0.0121902892554985
18,2019,0.010315930834356,0.00877199192728818,0.0122164741121791
19,1990,0.0103677845440662,0.0081942621959746,0.0136529401489605
19,2000,0.00988923987532299,0.00820184077433663,0.0123532390784107
19,2010,0.00895896623986281,0.00755968325690471,0.010780805393643
19,2019,0.00915521027999863,0.00767902280377701,0.010922309136885
20,1990,0.0106413870411739,0.0084725315448264,0.0138267197025196
20,2000,0.010480474395362,0.0088646933829724,0.0128139216009793
20,2010,0.00945779804723694,0.00795770835583369,0.0113518166363903
20,2019,0.00963534447574176,0.00825926724337944,0.0112967845464812
21,1990,0.0126644416290806,0.0100500989969482,0.016488886935554
21,2000,0.0124166253799102,0.010304323299531,0.0154732589182541
21,2010,0.0113970238109322,0.00967848094204327,0.0136801688432638
21,2019,0.01144491568689,0.00972168107481082,0.0135336477459932
22,1990,0.013181596333621,0.0105466528461608,0.016948478653788
22,2000,0.0126977805368287,0.0106208458835816,0.0156419099650635
22,2010,0.0112872256431167,0.00949045391676989,0.0136082541153537
22,2019,0.0108115188465032,0.00911672644530808,0.0128743484325425
27,1990,0.0101714965008721,0.00815274106144817,0.0131085091683772
27,2000,0.00947878350368138,0.00795773527834938,0.0116501380073441
27,2010,0.00822084001569003,0.00701045758218524,0.00978217776466039
27,2019,0.00821721276933086,0.00698592282023351,0.00969525137075992
28,1990,0.0130445083629066,0.0101500475172187,0.0172614308308287
28,2000,0.013097851290389,0.0107770436105892,0.0164313653405778
28,2010,0.0118886965243829,0.010049425058658,0.0143127982845049
28,2019,0.0118545180349831,0.00981006272761191,0.0143955300345129
29,1990,0.0117320020202796,0.00936240960166742,0.0152426566543563
29,2000,0.0114155133421127,0.00959833970249969,0.0140177594446832
29,2010,0.0102274624402573,0.00874536201696328,0.0121464583114537
29,2019,0.0101072881267212,0.00847763110526281,0.0120844025699268
31,1990,0.01072410830667,0.00843974920739435,0.0140556620661949
31,2000,0.00983988416534517,0.00820042537131036,0.0121598368675099
31,2010,0.0089595782616408,0.00756137822197303,0.0108035730946119
31,2019,0.00899138160522046,0.00776097452152941,0.0104700187984853
33,1990,0.0109867520012104,0.0087575242706154,0.014376871203875
33,2000,0.00998856030980472,0.00834491214809783,0.0122951020954589
33,2010,0.00855366626291194,0.00739015384975245,0.0100290410809707
33,2019,0.00880934143466373,0.00748706428620647,0.0103973244710283
35,1990,0.0107686248367625,0.00868024976610227,0.0134906998528739
35,2000,0.0102724039268779,0.0085310450070335,0.0124879070711769
35,2010,0.00950927889255137,0.00805660630018406,0.0112147906496438
35,2019,0.00956354336521086,0.00790901363720415,0.0114280719475242
38,1990,0.0102777778673296,0.00801046106792651,0.0133564130752751
38,2000,0.009485693836182,0.0076028081216815,0.0121468985770469
38,2010,0.00869481571073838,0.00718888610275719,0.0106745993867551
38,2019,0.00880750777946629,0.00733171511409676,0.0106204065782515
40,1990,0.0120527481144534,0.00973555108647936,0.0154049334230744
40,2000,0.0122808538112904,0.0104146516783575,0.0148603139815067
40,2010,0.0114392067528198,0.00982531382477808,0.0134534830716852
40,2019,0.0111775749469708,0.00951699001546262,0.0131323784819751
41,1990,0.0109725915697539,0.0088510570513912,0.0138981488019356
41,2000,0.0103147957955629,0.00881083201374682,0.0123098786449594
41,2010,0.00904903954756664,0.00782301634770612,0.0105913901390624
41,2019,0.00890344827835285,0.00764279861374639,0.0103784699474802
45,1990,0.0127112590518248,0.0100672945193142,0.0167513603227558
45,2000,0.0122195002841286,0.0100067273884583,0.0154533182282327
45,2010,0.0105641534676646,0.00885075729441118,0.0128172761229021
45,2019,0.0102030221902211,0.00859913435233901,0.0121295860771767
46,1990,0.0101524443732827,0.00782379418026936,0.0133582029285136
46,2000,0.00990540326592493,0.00809233395974815,0.0124420818133007
46,2010,0.00886613155477451,0.0074477351396991,0.0108037022822591
46,2019,0.0091511506563466,0.00776457487159586,0.0109058959819893
50,1990,0.0110447701401636,0.00878362990569961,0.0144181464834108
50,2000,0.0100850956405472,0.00861817691555447,0.0122566606132666
50,2010,0.00882528431280614,0.00750280690143173,0.0106195364766668
50,2019,0.00861444782150186,0.00722445315193283,0.0101921312635813
51,1990,0.0118486622864462,0.00948361058830244,0.015423551586098
51,2000,0.0110966134247514,0.00941955971563626,0.013522517789105
51,2010,0.00931233927522935,0.0079682776103604,0.0111073165555353
51,2019,0.0089893395709127,0.00771473156377041,0.0105618906151066
54,1990,0.0126580909864505,0.00990572897786508,0.0166849307104085
54,2000,0.0126052644606194,0.0106175105004118,0.0154594700921333
54,2010,0.0116280781537166,0.00986661601192708,0.0138205723572829
54,2019,0.0117695516647154,0.0100436930621217,0.0137540446598043
56,1990,0.0109865303085857,0.00884943376350944,0.0139429841230649
56,2000,0.0106733666443509,0.00919692337142256,0.0127350981236549
56,2010,0.00975056946755236,0.00868250000989486,0.0110190890769206
56,2019,0.00935299267728606,0.00792323664413317,0.0111166960719503
02,1990,0.0117382911121427,0.00908918739961607,0.015042778039431
02,2000,0.0112284375527135,0.00951840181184858,0.0133025091497239
02,2010,0.00996790453520352,0.00845894865779119,0.0117286266918226
02,2019,0.00914635600334777,0.00797600555218916,0.0103526915102647
15,1990,0.00961243251796533,0.00780351266506254,0.0117449526956569
15,2000,0.00874925341586852,0.00716364938900898,0.0107749423450149
15,2010,0.0076141865256868,0.0061113076716181,0.00948608569240277
15,2019,0.0073510622717991,0.00591527776282755,0.00908062132377471
